symbol,direction,entry_time,entry_price,exit_time,exit_price,result,r_multiple,costs
FILUSDT,LONG,1702713600000,5.245,1704026700000,6.575142750262418,WIN,1.9840049311330141,0.010637862446684743
FILUSDT,LONG,1704124800000,7.846,1704666600000,5.539250138681871,LOSS,-1.0052225803398993,0.01204718647478531
FILUSDT,LONG,1708041600000,5.869,1708360200000,7.02451583618322,WIN,1.9799155791966896,0.01160393314939645
FILUSDT,LONG,1708416000000,7.621,1709919900000,11.044088159843666,WIN,1.9901855319279926,0.016797894726225948
FILUSDT,SHORT,1723550400000,3.617,1724310000000,3.846457146795962,LOSS,-1.0292741255495437,0.006717157323545053
FILUSDT,SHORT,1725667200000,3.274,1725870600000,3.4557528522314165,LOSS,-1.0333244504458523,0.006056813917578174
FILUSDT,LONG,1733112000000,7.102,1734572700000,5.484252427512285,LOSS,-1.0070022980883568,0.011327950734274728
FILUSDT,SHORT,1740470400000,2.903,1740933000000,3.492277967321939,LOSS,-1.0097676620294178,0.0057558680261829975
FILUSDT,SHORT,1749124800000,2.52,1749556800000,2.7013606489540742,LOSS,-1.0259111382942723,0.0046992608561879645
FILUSDT,SHORT,1750550400000,2.19,1750782600000,2.329360539769674,LOSS,-1.0291865427948448,0.004067452357900264
FILUSDT,SHORT,1756108800000,2.302,1757733300000,2.581897679614325,LOSS,-1.0157041812466798,0.004395563891188503
FILUSDT,SHORT,1764936000000,1.528,1765556100000,1.3146254061388691,WIN,1.9760203860795993,0.002558320190606117
FILUSDT,SHORT,1765713600000,1.322,1765998000000,1.2171487730365667,WIN,1.9564103732179594,0.0022852129254875425
FILUSDT,SHORT,1766001600000,1.222,1766174400000,1.340187133404455,LOSS,-1.019511362963674,0.0023059920574904913
FILUSDT,SHORT,1766736000000,1.235,1766905200000,1.3695112404238512,LOSS,-1.0174266998894896,0.002344087018629426
FILUSDT,SHORT,1769688000000,1.228,1769868900000,1.0749285568818656,WIN,1.972919768120233,0.002072605086904822
FILUSDT,SHORT,1769875200000,1.079,1770336900000,0.8024512174757208,WIN,1.9877544151847941,0.0016932507859714896
FILUSDT,SHORT,1770638400000,0.908,1771089300000,1.016820369393721,LOSS,-1.0159194469397574,0.0017323600965281488
FILUSDT,SHORT,1774742400000,0.801,1774856700000,0.8520089189667087,LOSS,-1.0291658450912207,0.0014877182288536572
FILUSDT,SHORT,1781092800000,0.74,1781363700000,0.7962591911487656,LOSS,-1.0245763313627456,0.0013826445238721077
TRXUSDT,SHORT,1641340800000,0.07592,1641420900000,0.07042681378567685,WIN,1.9520456694417458,0.00013171103376984853
TRXUSDT,SHORT,1641441600000,0.06952,1643021100000,0.05210124166654209,WIN,1.9874324413195434,0.00010945563374821152
TRXUSDT,SHORT,1643025600000,0.05246,1643463000000,0.05940761077203849,LOSS,-1.0144916349692743,0.00010068223921697907
TRXUSDT,SHORT,1645473600000,0.06164,1645680600000,0.056335068918346054,WIN,1.9599706388618416,0.00010617650104028341
TRXUSDT,SHORT,1645905600000,0.05928,1646087400000,0.06257048829314903,LOSS,-1.0333282138671687,0.00010966609756148582
TRXUSDT,SHORT,1661731200000,0.06141,1661817600000,0.06354240263495645,LOSS,-1.0527375022936425,0.0001124575888519848
TRXUSDT,SHORT,1664164800000,0.05923,1664485200000,0.061256256196395964,LOSS,-1.0535164487199922,0.00010843803582799095
TRXUSDT,SHORT,1668398400000,0.04794,1671034500000,0.057333139318115185,LOSS,-1.010086905006448,9.47477040141604e-05
TRXUSDT,SHORT,1673092800000,0.05172,1673226000000,0.05445369188386875,LOSS,-1.0349552449556312,9.555686943385272e-05
TRXUSDT,LONG,1676664000000,0.0705,1678226400000,0.06585849777464538,LOSS,-1.0264404863639254,0.00012272357629761806
TRXUSDT,LONG,1681156800000,0.06701,1681232400000,0.06592200493900266,LOSS,-1.109962835616589,0.00011963902204411127
TRXUSDT,LONG,1684756800000,0.07756,1686342600000,0.07142964534917168,LOSS,-1.021873433842375,0.00013409190688518872
TRXUSDT,LONG,1688112000000,0.07555,1688851800000,0.07978663440150285,WIN,1.934003215578446,0.00013980212363446168
TRXUSDT,LONG,1688860800000,0.08007,1688976900000,0.07641692801025292,LOSS,-1.0385535697678292,0.00014083896582361673
TRXUSDT,LONG,1689264000000,0.07947,1689993900000,0.08447141426420678,WIN,1.9409981798105123,0.00014754627255493362
TRXUSDT,LONG,1689998400000,0.09105,1690747200000,0.07959630966588134,LOSS,-1.0134091253523627,0.0001535839694373417
TRXUSDT,LONG,1694620800000,0.081,1694691000000,0.0833795249394808,WIN,1.8756549308763946,0.00014794109654054114
TRXUSDT,LONG,1698148800000,0.09351,1699614000000,0.10149325781716186,WIN,1.9560326524826532,0.00017550133538386543
TRXUSDT,LONG,1699660800000,0.10622,1700606700000,0.09636746328676529,LOSS,-1.0185059637707823,0.00018233068746542277
TRXUSDT,LONG,1704196800000,0.11012,1704283200000,0.10560122127899826,LOSS,-1.042965149411828,0.00019415000290682813
TRXUSDT,LONG,1705161600000,0.11512,1708164000000,0.13551274944554922,WIN,1.9778778828668133,0.0002255653959510849
TRXUSDT,LONG,1708358400000,0.1362,1708486200000,0.14004303236861115,WIN,1.8706136526166708,0.00024861796052525137
TRXUSDT,LONG,1708560000000,0.13971,1708704000000,0.1377621118595297,LOSS,-1.1282030959903468,0.0002497252902511735
TRXUSDT,LONG,1709092800000,0.14324,1709305200000,0.13689113826457608,LOSS,-1.0397109442159882,0.00025211929421044103
TRXUSDT,LONG,1719936000000,0.12844,1720087200000,0.12719525092433356,LOSS,-1.1848340193854132,0.0002300719747817051
TRXUSDT,LONG,1720785600000,0.13655,1721114100000,0.13336115376488633,LOSS,-1.0761782344607045,0.00024292067615762445
TRXUSDT,LONG,1724068800000,0.1377,1724138100000,0.14621379586909317,WIN,1.9399749025107387,0.00025552071352299456
TRXUSDT,LONG,1724241600000,0.165,1733204700000,0.23080046831643772,WIN,1.9891731086265805,0.0003562072613911005
TRXUSDT,LONG,1733227200000,0.2398,1733263200000,0.31815819817654967,WIN,1.9871833013416715,0.0005021467067192059
TRXUSDT,LONG,1744588800000,0.2547,1752244200000,0.2982143763816832,WIN,1.9771287433144664,0.0004976142358682004
TRXUSDT,LONG,1752249600000,0.2984,1752774300000,0.3180006425896301,WIN,1.9433940335715747,0.0005547566582020831
TRXUSDT,LONG,1752811200000,0.3256,1757196000000,0.29862588146364016,LOSS,-1.0208276940498953,0.0005618086881409093
TRXUSDT,SHORT,1763812800000,0.2748,1764867600000,0.2837036783230813,LOSS,-1.0564547676799376,0.0005026550912264512
TRXUSDT,SHORT,1770264000000,0.2818,1770316200000,0.27501835957242643,WIN,1.8522082753755174,0.0005011351672871058
TRXUSDT,SHORT,1770364800000,0.2691,1771546500000,0.28545456452364737,LOSS,-1.0305176196078194,0.0004991023789842099
TRXUSDT,LONG,1776614400000,0.3342,1776700800000,0.326440137622769,LOSS,-1.0766221934009468,0.0005945776758329233
TRXUSDT,LONG,1779019200000,0.3564,1779723000000,0.37325695411888776,WIN,1.9220870054358985,0.0006566878873161056
TRXUSDT,LONG,1779724800000,0.3707,1779948900000,0.36271098375897737,LOSS,-1.0826223734277698,0.0006600714831862878
BNBUSDT,LONG,1726905600000,582.6,1727794800000,559.8410798388662,LOSS,-1.0451779573178028,1.0282015236389874
BNBUSDT,LONG,1729080000000,599.3,1729706400000,573.7797311808965,LOSS,-1.0413701309182977,1.0557768621164598
BNBUSDT,LONG,1730174400000,605.4,1730361600000,585.609137771616,LOSS,-1.054161974844609,1.0719121821668516
BNBUSDT,LONG,1731240000000,641.53,1731472200000,604.2269365443123,LOSS,-1.0300562098561765,1.121188703502419
BNBUSDT,LONG,1731571200000,659.82,1732156200000,594.3087009011642,LOSS,-1.0172295306091836,1.128728933070775
BNBUSDT,LONG,1732334400000,644.58,1732629600000,608.9280522698801,LOSS,-1.0316438357301667,1.1281643774324053
BNBUSDT,LONG,1733572800000,746.04,1733778000000,694.7883895794631,LOSS,-1.025301757160472,1.2967558009435365
BNBUSDT,LONG,1734148800000,731.0,1734552000000,688.9596175791621,LOSS,-1.0303986783732066,1.2779720638976642
BNBUSDT,LONG,1747800000000,656.59,1748354400000,697.2328842451021,WIN,1.940042027534477,1.2184324672436375
BNBUSDT,LONG,1752076800000,662.46,1752171300000,676.1836958815259,WIN,1.8244238881486734,1.204776581554185
BNBUSDT,LONG,1752177600000,675.92,1752699600000,714.1320414030534,WIN,1.9345212059382717,1.2510391948543855
BNBUSDT,LONG,1752724800000,709.62,1753226100000,787.2306794243033,WIN,1.965284414481648,1.3471500893459023
BNBUSDT,LONG,1753272000000,808.46,1754158500000,737.7488440172635,LOSS,-1.0196800926601517,1.3916021018467006
BNBUSDT,LONG,1755158400000,858.01,1755175500000,830.8519491951685,LOSS,-1.0559679778496944,1.5199811858856869
BNBUSDT,LONG,1755417600000,854.22,1757701800000,925.5608703833261,WIN,1.9550947862967154,1.6017885151707958
BNBUSDT,LONG,1758153600000,989.98,1758843000000,940.1048623308233,LOSS,-1.0348287028829342,1.7370863511251926
BNBUSDT,LONG,1759406400000,1047.81,1759517100000,1172.0722312863154,WIN,1.967844305787363,1.9978691557113706
BNBUSDT,LONG,1759737600000,1198.26,1759838400000,1323.2763648445473,WIN,1.9636950294002118,2.2693577250868486
BNBUSDT,LONG,1759910400000,1312.47,1760130000000,1186.2993630953852,LOSS,-1.0178244139530919,2.2489176609130936
BNBUSDT,SHORT,1770292800000,683.49,,,UNRESOLVED,0.0,0.0
